name
Eden Gardens
Feroz Shah Kotla
Green Park
Holkar Cricket Stadium
M Chinnaswamy Stadium
Maharashtra Cricket Association Stadium
Punjab Cricket Association IS Bindra Stadium Mohali
Rajiv Gandhi International Stadium Uppal
Saurashtra Cricket Association Stadium
Wankhede Stadium
